f,h,a,b_h,l_h,s,b_a,l_a
ssp_oit,Shimizu S-Pulse,Oita Trinita,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_oit.jpg,512_oit.png
ssp_sag,Shimizu S-Pulse,Sagan Tosu,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_sag.jpg,512_sag.png
ssp_hir,Shimizu S-Pulse,Sanfrecce Hiroshima,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_hir.jpg,512_hir.png
ssp_sho,Shimizu S-Pulse,Shonan Bellmare,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_sho.jpg,512_sho.png
ssp_ura,Shimizu S-Pulse,Urawa Red Diamonds,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_ura.jpg,512_ura.png
ssp_veg,Shimizu S-Pulse,Vegalta Sendai,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_veg.jpg,512_veg.png
ssp_vis,Shimizu S-Pulse,Vissel Kobe,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_vis.jpg,512_vis.png
ssp_yfm,Shimizu S-Pulse,Yokohama F. Marinos,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_yfm.jpg,512_yfm.png
ssp_yok,Shimizu S-Pulse,Yokohama FC,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_yok.jpg,512_yok.png
sho_crz,Shonan Bellmare,Cerezo Osaka,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_crz.jpg,512_crz.png
sho_tok,Shonan Bellmare,FC Tokyo,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_tok.jpg,512_tok.png
sho_gam,Shonan Bellmare,Gamba Osaka,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_gam.jpg,512_gam.png
sho_hok,Shonan Bellmare,Hokkaido Consadole Sapporo,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_hok.jpg,512_hok.png
sho_ant,Shonan Bellmare,Kashima Antlers,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_ant.jpg,512_ant.png
sho_rey,Shonan Bellmare,Kashiwa Reysol,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_rey.jpg,512_rey.png
sho_fro,Shonan Bellmare,Kawasaki Frontale,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_fro.jpg,512_fro.png
sho_nag,Shonan Bellmare,Nagoya Grampus,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_nag.jpg,512_nag.png
sho_oit,Shonan Bellmare,Oita Trinita,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_oit.jpg,512_oit.png
sho_sag,Shonan Bellmare,Sagan Tosu,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_sag.jpg,512_sag.png
sho_hir,Shonan Bellmare,Sanfrecce Hiroshima,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_hir.jpg,512_hir.png
sho_ssp,Shonan Bellmare,Shimizu S-Pulse,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_ssp.jpg,512_ssp.png
sho_ura,Shonan Bellmare,Urawa Red Diamonds,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_ura.jpg,512_ura.png
sho_veg,Shonan Bellmare,Vegalta Sendai,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_veg.jpg,512_veg.png
sho_vis,Shonan Bellmare,Vissel Kobe,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_vis.jpg,512_vis.png
sho_yfm,Shonan Bellmare,Yokohama F. Marinos,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_yfm.jpg,512_yfm.png
sho_yok,Shonan Bellmare,Yokohama FC,banner_sho.jpg,512_sho.png,stad_sho.jpg,banner_yok.jpg,512_yok.png
ura_crz,Urawa Red Diamonds,Cerezo Osaka,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_crz.jpg,512_crz.png
ura_tok,Urawa Red Diamonds,FC Tokyo,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_tok.jpg,512_tok.png
ura_gam,Urawa Red Diamonds,Gamba Osaka,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_gam.jpg,512_gam.png
ura_hok,Urawa Red Diamonds,Hokkaido Consadole Sapporo,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_hok.jpg,512_hok.png
ura_ant,Urawa Red Diamonds,Kashima Antlers,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_ant.jpg,512_ant.png
ura_rey,Urawa Red Diamonds,Kashiwa Reysol,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_rey.jpg,512_rey.png
ura_fro,Urawa Red Diamonds,Kawasaki Frontale,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_fro.jpg,512_fro.png
ura_nag,Urawa Red Diamonds,Nagoya Grampus,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_nag.jpg,512_nag.png
ura_oit,Urawa Red Diamonds,Oita Trinita,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_oit.jpg,512_oit.png
ura_sag,Urawa Red Diamonds,Sagan Tosu,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_sag.jpg,512_sag.png
ura_hir,Urawa Red Diamonds,Sanfrecce Hiroshima,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_hir.jpg,512_hir.png
ura_ssp,Urawa Red Diamonds,Shimizu S-Pulse,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_ssp.jpg,512_ssp.png
ura_sho,Urawa Red Diamonds,Shonan Bellmare,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_sho.jpg,512_sho.png
ura_veg,Urawa Red Diamonds,Vegalta Sendai,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_veg.jpg,512_veg.png
ura_vis,Urawa Red Diamonds,Vissel Kobe,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_vis.jpg,512_vis.png
ura_yfm,Urawa Red Diamonds,Yokohama F. Marinos,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_yfm.jpg,512_yfm.png
ura_yok,Urawa Red Diamonds,Yokohama FC,banner_ura.jpg,512_ura.png,stad_ura.jpg,banner_yok.jpg,512_yok.png
veg_crz,Vegalta Sendai,Cerezo Osaka,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_crz.jpg,512_crz.png
veg_tok,Vegalta Sendai,FC Tokyo,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_tok.jpg,512_tok.png
veg_gam,Vegalta Sendai,Gamba Osaka,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_gam.jpg,512_gam.png
veg_hok,Vegalta Sendai,Hokkaido Consadole Sapporo,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_hok.jpg,512_hok.png
veg_ant,Vegalta Sendai,Kashima Antlers,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_ant.jpg,512_ant.png
veg_rey,Vegalta Sendai,Kashiwa Reysol,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_rey.jpg,512_rey.png
veg_fro,Vegalta Sendai,Kawasaki Frontale,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_fro.jpg,512_fro.png
veg_nag,Vegalta Sendai,Nagoya Grampus,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_nag.jpg,512_nag.png
veg_oit,Vegalta Sendai,Oita Trinita,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_oit.jpg,512_oit.png
veg_sag,Vegalta Sendai,Sagan Tosu,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_sag.jpg,512_sag.png
veg_hir,Vegalta Sendai,Sanfrecce Hiroshima,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_hir.jpg,512_hir.png
veg_ssp,Vegalta Sendai,Shimizu S-Pulse,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_ssp.jpg,512_ssp.png
veg_sho,Vegalta Sendai,Shonan Bellmare,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_sho.jpg,512_sho.png
veg_ura,Vegalta Sendai,Urawa Red Diamonds,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_ura.jpg,512_ura.png
veg_vis,Vegalta Sendai,Vissel Kobe,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_vis.jpg,512_vis.png
veg_yfm,Vegalta Sendai,Yokohama F. Marinos,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_yfm.jpg,512_yfm.png
veg_yok,Vegalta Sendai,Yokohama FC,banner_veg.jpg,512_veg.png,stad_veg.jpg,banner_yok.jpg,512_yok.png
vis_crz,Vissel Kobe,Cerezo Osaka,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_crz.jpg,512_crz.png
vis_tok,Vissel Kobe,FC Tokyo,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_tok.jpg,512_tok.png
vis_gam,Vissel Kobe,Gamba Osaka,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_gam.jpg,512_gam.png
vis_hok,Vissel Kobe,Hokkaido Consadole Sapporo,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_hok.jpg,512_hok.png
vis_ant,Vissel Kobe,Kashima Antlers,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_ant.jpg,512_ant.png
vis_rey,Vissel Kobe,Kashiwa Reysol,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_rey.jpg,512_rey.png
vis_fro,Vissel Kobe,Kawasaki Frontale,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_fro.jpg,512_fro.png
vis_nag,Vissel Kobe,Nagoya Grampus,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_nag.jpg,512_nag.png
vis_oit,Vissel Kobe,Oita Trinita,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_oit.jpg,512_oit.png
vis_sag,Vissel Kobe,Sagan Tosu,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_sag.jpg,512_sag.png
vis_hir,Vissel Kobe,Sanfrecce Hiroshima,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_hir.jpg,512_hir.png
vis_ssp,Vissel Kobe,Shimizu S-Pulse,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_ssp.jpg,512_ssp.png
vis_sho,Vissel Kobe,Shonan Bellmare,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_sho.jpg,512_sho.png
vis_ura,Vissel Kobe,Urawa Red Diamonds,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_ura.jpg,512_ura.png
vis_veg,Vissel Kobe,Vegalta Sendai,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_veg.jpg,512_veg.png
vis_yfm,Vissel Kobe,Yokohama F. Marinos,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_yfm.jpg,512_yfm.png
vis_yok,Vissel Kobe,Yokohama FC,banner_vis.jpg,512_vis.png,stad_vis.jpg,banner_yok.jpg,512_yok.png
yfm_crz,Yokohama F. Marinos,Cerezo Osaka,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_crz.jpg,512_crz.png
yfm_tok,Yokohama F. Marinos,FC Tokyo,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_tok.jpg,512_tok.png
yfm_gam,Yokohama F. Marinos,Gamba Osaka,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_gam.jpg,512_gam.png
yfm_hok,Yokohama F. Marinos,Hokkaido Consadole Sapporo,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_hok.jpg,512_hok.png
yfm_ant,Yokohama F. Marinos,Kashima Antlers,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_ant.jpg,512_ant.png
yfm_rey,Yokohama F. Marinos,Kashiwa Reysol,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_rey.jpg,512_rey.png
yfm_fro,Yokohama F. Marinos,Kawasaki Frontale,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_fro.jpg,512_fro.png
yfm_nag,Yokohama F. Marinos,Nagoya Grampus,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_nag.jpg,512_nag.png
yfm_oit,Yokohama F. Marinos,Oita Trinita,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_oit.jpg,512_oit.png
yfm_sag,Yokohama F. Marinos,Sagan Tosu,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_sag.jpg,512_sag.png
yfm_hir,Yokohama F. Marinos,Sanfrecce Hiroshima,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_hir.jpg,512_hir.png
yfm_ssp,Yokohama F. Marinos,Shimizu S-Pulse,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_ssp.jpg,512_ssp.png
yfm_sho,Yokohama F. Marinos,Shonan Bellmare,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_sho.jpg,512_sho.png
yfm_ura,Yokohama F. Marinos,Urawa Red Diamonds,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_ura.jpg,512_ura.png
yfm_veg,Yokohama F. Marinos,Vegalta Sendai,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_veg.jpg,512_veg.png
yfm_vis,Yokohama F. Marinos,Vissel Kobe,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_vis.jpg,512_vis.png
yfm_yok,Yokohama F. Marinos,Yokohama FC,banner_yfm.jpg,512_yfm.png,stad_yfm.jpg,banner_yok.jpg,512_yok.png
yok_crz,Yokohama FC,Cerezo Osaka,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_crz.jpg,512_crz.png
yok_tok,Yokohama FC,FC Tokyo,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_tok.jpg,512_tok.png
yok_gam,Yokohama FC,Gamba Osaka,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_gam.jpg,512_gam.png
yok_hok,Yokohama FC,Hokkaido Consadole Sapporo,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_hok.jpg,512_hok.png
yok_ant,Yokohama FC,Kashima Antlers,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_ant.jpg,512_ant.png
yok_rey,Yokohama FC,Kashiwa Reysol,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_rey.jpg,512_rey.png
yok_fro,Yokohama FC,Kawasaki Frontale,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_fro.jpg,512_fro.png
yok_nag,Yokohama FC,Nagoya Grampus,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_nag.jpg,512_nag.png
yok_oit,Yokohama FC,Oita Trinita,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_oit.jpg,512_oit.png
yok_sag,Yokohama FC,Sagan Tosu,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_sag.jpg,512_sag.png
yok_hir,Yokohama FC,Sanfrecce Hiroshima,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_hir.jpg,512_hir.png
yok_ssp,Yokohama FC,Shimizu S-Pulse,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_ssp.jpg,512_ssp.png
yok_sho,Yokohama FC,Shonan Bellmare,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_sho.jpg,512_sho.png
yok_ura,Yokohama FC,Urawa Red Diamonds,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_ura.jpg,512_ura.png
yok_veg,Yokohama FC,Vegalta Sendai,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_veg.jpg,512_veg.png
yok_vis,Yokohama FC,Vissel Kobe,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_vis.jpg,512_vis.png
yok_yfm,Yokohama FC,Yokohama F. Marinos,banner_yok.jpg,512_yok.png,stad_yok.jpg,banner_yfm.jpg,512_yfm.png
